"Name"|"Artist"|"CCLI Number"|"Dates Used"
"Bahnt einen Weg unserm Gott"|"Lothar Kosse"|4329954|"Nov 28, 2021"
"Bis ans Ende der Welt"|"Lothar Kosse"|4331007|"Nov 7, 2021"
"Dir gehört mein Lob"|"Andreas Waldmann, Beth Redman, Kai Peters, Matt Redman"|5298170|"Nov 7, 2021"
"Es ist deine Liebe"|||"Nov 14, 2021"
"Freue dich Welt dein König naht (Antioch)"|"George Frideric Handel, Isaac Watts, Johannes Haas"|5855537|"Nov 28, 2021"
"Hier bewegt sich was"|"Daniel Kallauch"|4958105|"Nov 28, 2021"
"Ich folge dir"|"Arne Kopfermann, Chris Tomlin, Jason Ingram, Reuben Morgan"|6237525|"Nov 14, 2021"
"Ich will dich anbeten"|"Andreas Waldmann, Tim Hughes"|5292815|"Nov 14, 2021"
"In Christus"|"Guido Baltes, Keith Getty, Stuart Townend"|5292994|"Nov 21, 2021"
"Je-Je-Jesus ist größer"|"Larissa Zimmermeyer, Regula Salathé"|5731682|"Nov 21, 2021"
"Jesus meine Hoffnung lebt"|"Arne Kopfermann, Brian Johnson, Kris Madarasz, Matthias Nitsch, Phil Wickham"|7116987|"Nov 21, 2021"
"Lebensgrund"|"Albert Frey"|6236942|"Nov 21, 2021"
"Lege deine Sorgen nieder"|"Sefora Nelson"|5752276|"Nov 14, 2021"
"Macht hoch die Tür die Tor macht weit"|"Georg Weissel, Johann Anastasius Freylinghausen"|5588206|"Nov 28, 2021"
"Mit allem was ich bin"|"Ben Lütke"|5905810|"Nov 7, 2021"
"Mittelpunkt"|"Juri Friesen, Pala Friesen"|6352819|"Nov 14, 2021"
"Morgenstern"|"Albert Frey"|4904898|"Nov 7, 2021"
"My Lighthouse"|"Chris Llewellyn, Gareth Gilkeson"|7002032|"Nov 7, 2021"
"Näher zu dir"|"Lothar Kosse"|4904544|"Nov 21, 2021"
"Oceans (Where Feet May Fail)"|"Joel Houston, Matt Crocker, Salomon Ligthelm"|6428767|"Nov 14, 2021"
"Sei behütet"|||"Nov 28, 2021"
"So bist nur du"|"Albert Frey, Arne Kopfermann, Chris Tomlin, Jesse Reeves, Jonas Myrin, Matt Redman"|5906981|"Nov 7, 2021"
"The Blessing"|"Chris Brown, Cody Carnes, Kari Jobe, Steven Furtick"|7147007|"Nov 14, 2021"
"Vater im Himmel"|"Albert Frey"|5900255|"Nov 21, 2021"
"Vom Anfang bis zum Ende (Immer und überall)"|"Daniel Kallauch"|4353353|"Nov 14, 2021"
"Way Maker"|"Osinachi Kalu Okoro Egbu"|7115744|"Nov 21, 2021"
"What A Beautiful Name"|"Ben Fielding, Brooke Ligertwood"|7068424|"Nov 28, 2021"
"Willkommen hallo im Vaterhaus"|"Daniel Kallauch"|4974189|"Nov 7, 2021"
"Zu dem Höchsten"|"Jeriel Devendraraj, Julie Devendraraj"|7122006|"Nov 14, 2021"
