"Name"|"Artist"|"CCLI Number"|"Dates Used"
"Er hält die ganze Welt"|"Klaus Heizmann, Unknown"|7130114|"Mär 20, 2022, Feb 6, 2022"
"Es ist deine Liebe"|"THEA EICHHOLZ"||"Jan 30, 2022, Mai 8, 2022"
"Es ist deine Liebe"|||"Jan 30, 2022"
"Ewigkeit"|"Mia Friesen, Nikolai Nilkens"|7158243|"Mär 20, 2022, Mai 29, 2022"
"Gewagte Liebe"|"Caleb Culver, Cory Asbury, Larissa Witzmann, Lukas Dopfer, Mia Friesen, Ran Jackson, Stefan Schöpfle"|7120458|"Feb 6, 2022, Apr 15, 2022, Mai 29, 2022"
"Good Good Father"|"Anthony Brown, Pat Barrett"|7036612|"Jan 9, 2022"
"Gott segne dich"|"Jennifer Pepper, Martin Pepper"|5947469|"Mai 15, 2022, Mär 26, 2022, Mai 8, 2022, Jan 23, 2022"
"Gott und König"|"Mia Friesen, Stefan Schöpfle"|6352761|"Apr 10, 2022"
"Gottes Liebe ist so wunderbar"|"Lars Peter"|7159922|"Feb 27, 2022"
"Gottes Segen"|"Matthias Rhein"|4336772|"Mär 13, 2022"
"Großer Gott wir loben dich"|"Heinrich Bone, Ignaz Franz"|4334482|"Apr 24, 2022, Mär 6, 2022"
"Happy Day"|"Ben Cantelon, Tim Hughes"|4847027|"Apr 17, 2022"
"Herr dein Name sei erhöht"|"Karin Geitz, Rick Founds"|5183120|"Apr 24, 2022"
"Herr ich komme zu dir"|"Albert Frey"|4331784|"Feb 20, 2022, Apr 10, 2022"
"Herr in deinem Namen"|"Werner Arthur Hoffmann"|4327949|"Mai 22, 2022"
"Hier bewegt sich was"|"Daniel Kallauch"|4958105|"Feb 20, 2022"
"Holy Is The Lord"|"Chris Tomlin, Louie Giglio"|4158039|"Mai 15, 2022"
"Höher"|"Dominik Laim, Jennifer Pepper, Sarah Keim, Steffen Bodemer, Zippora Schneider-Ulrich"|7051762|"Mär 26, 2022, Feb 20, 2022, Feb 27, 2022"
"Ich Brauch Nur Dich"|"Aodhan King, Ben Tan, Benjamin Hastings, Ellen Röwer, Lucas Heidenreich, Melodie Wagner, Michael Fatkin"|7157870|"Mai 1, 2022"
"Ich bin ein Bibelentdecker"|"Daniel Kallauch"|4973867|"Mai 15, 2022, Jan 9, 2022"
"Ich folge dir"|"Arne Kopfermann, Chris Tomlin, Jason Ingram, Reuben Morgan"|6237525|"Mär 26, 2022, Feb 13, 2022, Jan 16, 2022"
"Ich seh das Kreuz"|"Brian Doerksen, Guido Baltes, Stefan Amolsch"|5229479|"Apr 17, 2022"
"Ich tauch ein"|"Aodhan King, Joel Davies, Martin Bruch"|7008196|"Mai 29, 2022, Mär 6, 2022, Jan 9, 2022"
"Ich weiß dass mein Erlöser lebt"|"Lothar Kosse"|4905347|"Mär 6, 2022"
"Ich will dich anbeten"|"Andreas Waldmann, Tim Hughes"|5292815|"Mai 15, 2022, Mär 13, 2022, Apr 3, 2022"
"In Christus"|"Guido Baltes, Keith Getty, Stuart Townend"|5292994|"Mär 20, 2022"
"Je Je Jesus ist größer"|||"Mai 29, 2022"
"Je-Je-Jesus ist größer"|"Larissa Zimmermeyer, Regula Salathé"|5731682|"Mai 1, 2022, Feb 13, 2022, Apr 3, 2022"
"Jesus In My House"|"Judy Bailey"|4021764|"Mai 8, 2022"
"Jesus dein Licht"|"Graham Kendrick, Manfred Schmidt"|5171424|"Mär 13, 2022"
"Jesus kam für dich"|"Hella Heizmann"|4350239|"Apr 24, 2022"
"Jesus meine Hoffnung lebt"|"Arne Kopfermann, Brian Johnson, Kris Madarasz, Matthias Nitsch, Phil Wickham"|7116987|"Apr 17, 2022, Jan 23, 2022, Feb 27, 2022"
"Keiner ist wie du"|"Lenny LeBlanc, Martin Pepper"|5275557|"Mai 8, 2022"
"Lass mich wachsen"|||"Mai 1, 2022, Mär 26, 2022, Feb 13, 2022, Jan 16, 2022"
"Leben aus der Quelle"|"Lukas Di Nunzio"|4327860|"Mär 13, 2022"
"Lebensgrund"|"Albert Frey"|6236942|"Mai 22, 2022"
"Lege deine Sorgen nieder"|"Sefora Nelson"|5752276|"Apr 3, 2022"
"Mein Erlöser lebt"|"Daniel Jacobi, Reuben Morgan, Tabea Higgins"|5203880|"Mai 15, 2022"
"Mein Gott ist höher als die Berge"|||"Mär 6, 2022"
"Mit allem was ich bin"|"Ben Lütke"|5905810|"Jan 30, 2022, Mai 8, 2022"
"Mittelpunkt"|"Juri Friesen, Pala Friesen"|6352819|"Mai 1, 2022"
"Morgenstern"|"Albert Frey"|4904898|"Jan 30, 2022"
"Mutig komm ich vor den Thron"|"Rend Collective, Simon Gottschick"|7028158|"Jan 30, 2022, Mär 20, 2022"
"My Lighthouse"|"Chris Llewellyn, Gareth Gilkeson"|7002032|"Mär 13, 2022"
"Nichts will ich mehr"|"Albert Frey"|4327901|"Feb 20, 2022"
"Noch nie"|"Dietmar Kramlich, Johannes Hartl"|6475143|"Mai 29, 2022, Jan 9, 2022"
"O Haupt voll Blut und Wunden (Passion Chorale)"|"Arnulf Von Löwen, Hans Leo Hassler, Paul Gerhardt"|4340414|"Apr 15, 2022"
"Oceans (Where Feet May Fail)"|"Joel Houston, Matt Crocker, Salomon Ligthelm"|6428767|"Feb 20, 2022, Mai 29, 2022"
"Oh am Kreuz"|"Mia Friesen, Stefan Schöpfle"|7149144|"Apr 15, 2022, Feb 27, 2022"
"Our God"|"Chris Tomlin, Jesse Reeves, Jonas Myrin, Matt Redman"|5677416|"Mär 26, 2022, Jan 23, 2022, Feb 27, 2022"
"Ruft zu dem Herrn"|"Daniel Jacobi, Darlene Zschech, Peter Eltermann"|5172193|"Apr 24, 2022, Apr 10, 2022"
"Say The Word"|"Joel Houston"|7037920|"Feb 6, 2022"
"Schöpfer aller Himmel"|"Jennifer Randolph, Mirjana Angelina"|4678911|"Apr 24, 2022"
"Sei behütet"|||"Jan 30, 2022, Feb 27, 2022"
"Sei gesegnet"|"Jennifer Pepper, Martin Pepper"|7033176|"Mär 6, 2022"
"So groß ist der Herr"|"Arne Kopfermann, Chris Tomlin, Ed Cash, Jesse Reeves"|5290068|"Apr 10, 2022"
"Treu"|"Tobias Gerster"|4328979|"Feb 13, 2022"
"Unser Land"|"Andreas Buhl, Markus Heusser, Markus Hottiger"|5733068|"Jan 16, 2022"
"Vater Unser"|"Theo Evers, Timo Langner"|7116302|"Apr 17, 2022, Apr 10, 2022"
"Vater im Himmel"|"Albert Frey"|5900255|"Mär 13, 2022"
"Vom Anfang bis zum Ende (Immer und überall)"|"Daniel Kallauch"|4353353|"Apr 10, 2022"
"Von guten Mächten treu und still umgeben"|"Dietrich Bonhoeffer"|4891516|"Jan 9, 2022"
"Vor dir"|"Daniela A. Bauer, Johanna Schmidt, Melanie Schmidt, Richard Schmidt"|6113704|"Mai 1, 2022, Jan 23, 2022"
"Way Maker"|"Osinachi Kalu Okoro Egbu"|7115744|"Mai 1, 2022, Jan 16, 2022"
"What A Beautiful Name"|"Ben Fielding, Brooke Ligertwood"|7068424|"Apr 15, 2022"
"Wir sind hier zusammen"|"Graham Kendrick, Hartmut Stiegler"|5291531|"Mai 22, 2022"
"Wo ich auch stehe"|"Albert Frey"|4330228|"Feb 20, 2022"
"Wohin sonst"|"Thea Eichholz"|4681159|"Mai 1, 2022, Jan 23, 2022"
"Wunderbarer Hirt"|"Lothar Kosse"|4684723|"Feb 27, 2022"
"You Say"|"Jason Ingram, Lauren Daigle, Paul Mabury"|7071357|"Feb 13, 2022"
"Zehntausend Gründe"|"David Hanheiser, David Schnitter, Jonas Myrin, Matt Redman"|6271093|"Jan 30, 2022, Feb 13, 2022"
"Zu dem Höchsten"|"Jeriel Devendraraj, Julie Devendraraj"|7122006|"Feb 6, 2022"
"Zuerst geliebt"|"Mia Friesen, Sam Samba, Stefan Schöpfle"|7104131|"Feb 6, 2022"
