"Name"|"Artist"|"CCLI Number"|"Dates Used"
"Allein deine Gnade genügt"|"Ken Janz, Martin Nystrom, Martin Pepper"|5282557|"Apr 24, 2022"
"Alles was ich hab"|"Thomas Klein"|4866709|"Apr 17, 2022"
"Bis ich dir gegenübersteh"|"Jadwin Gillies, Joel Houston, Marcus Jakob"|5184985|"Apr 3, 2022"
"Das glaube ich"|"Ben Fielding, Dennis Strehl, Martin Bruch, Matt Crocker"|7024191|"Apr 17, 2022"
"Der Einzige"|"Mia Friesen, Stefan Schöpfle"|6059284|"Apr 10, 2022"
"Der Herr segne dich"|"Christian Gallant, Peter Eltermann"|6535306|"Apr 24, 2022"
"Der Herr segne dich"|"Albert Frey, Chris Brown, Cody Carnes, Johannes Hartl, Kari Jobe, Sebastian Bartram, Steven Furtick"|7148397|"Apr 3, 2022"
"Der König lebt"|"Albert Frey, Billy Funk"|5301751|"Apr 17, 2022"
"Der Löwe und das Lamm"|"Brenton Brown, Brian Johnson, Leeland Mooring, Sandra Dittman"|7062925|"Apr 3, 2022"
"Dort am Kreuz"|"Edgar Breitenbach, Lara Neumann, Simon Wilhelm"|7056953|"Apr 15, 2022"
"El Shaddai"|"Johannes Hartl"|7096792|"Apr 3, 2022"
"Gewagte Liebe"|"Caleb Culver, Cory Asbury, Larissa Witzmann, Lukas Dopfer, Mia Friesen, Ran Jackson, Stefan Schöpfle"|7120458|"Apr 15, 2022"
"Gott und König"|"Mia Friesen, Stefan Schöpfle"|6352761|"Apr 10, 2022"
"Großer Gott wir loben dich"|"Heinrich Bone, Ignaz Franz"|4334482|"Apr 24, 2022"
"Happy Day"|"Ben Cantelon, Tim Hughes"|4847027|"Apr 17, 2022"
"Herr dein Name sei erhöht"|"Karin Geitz, Rick Founds"|5183120|"Apr 24, 2022"
"Herr ich komme zu dir"|"Albert Frey"|4331784|"Apr 10, 2022"
"Ich seh das Kreuz"|"Brian Doerksen, Guido Baltes, Stefan Amolsch"|5229479|"Apr 17, 2022"
"Ich will dich anbeten"|"Andreas Waldmann, Tim Hughes"|5292815|"Apr 3, 2022"
"Je-Je-Jesus ist größer"|"Larissa Zimmermeyer, Regula Salathé"|5731682|"Apr 3, 2022"
"Jesus kam für dich"|"Hella Heizmann"|4350239|"Apr 24, 2022"
"Jesus meine Hoffnung lebt"|"Arne Kopfermann, Brian Johnson, Kris Madarasz, Matthias Nitsch, Phil Wickham"|7116987|"Apr 17, 2022"
"Lege deine Sorgen nieder"|"Sefora Nelson"|5752276|"Apr 3, 2022"
"O Haupt voll Blut und Wunden (Passion Chorale)"|"Arnulf Von Löwen, Hans Leo Hassler, Paul Gerhardt"|4340414|"Apr 15, 2022"
"Oh am Kreuz"|"Mia Friesen, Stefan Schöpfle"|7149144|"Apr 15, 2022"
"Ruft zu dem Herrn"|"Daniel Jacobi, Darlene Zschech, Peter Eltermann"|5172193|"Apr 24, 2022, Apr 10, 2022"
"Schöpfer aller Himmel"|"Jennifer Randolph, Mirjana Angelina"|4678911|"Apr 24, 2022"
"So groß ist der Herr"|"Arne Kopfermann, Chris Tomlin, Ed Cash, Jesse Reeves"|5290068|"Apr 10, 2022"
"Vater Unser"|"Theo Evers, Timo Langner"|7116302|"Apr 17, 2022, Apr 10, 2022"
"Vom Anfang bis zum Ende (Immer und überall)"|"Daniel Kallauch"|4353353|"Apr 10, 2022"
"What A Beautiful Name"|"Ben Fielding, Brooke Ligertwood"|7068424|"Apr 15, 2022"
