"Name"|"Artist"|"CCLI Number"|"Dates Used"
"Alle Augen auf dich"|"Daniel Harter, Mitch Schlüter, Tobi Wörner"|7096771|"Okt 24, 2021"
"Dankbarkeit"|"Albert Frey"|7048542|"Okt 3, 2021"
"Das Privileg zu sein"|"Samuel Harfst"|5656190|"Okt 17, 2021"
"Es ist deine Liebe"|||"Okt 3, 2021"
"Ewigkeit"|"Mia Friesen, Nikolai Nilkens"|7158243|"Okt 17, 2021"
"Gewagte Liebe"|"Caleb Culver, Cory Asbury, Larissa Witzmann, Lukas Dopfer, Mia Friesen, Ran Jackson, Stefan Schöpfle"|7120458|"Okt 10, 2021"
"Gott segne dich"|"Jennifer Pepper, Martin Pepper"|5947469|"Okt 24, 2021"
"Großer Gott wir loben dich"|"Heinrich Bone, Ignaz Franz"|4334482|"Okt 10, 2021"
"Ich tauch ein"|"Aodhan King, Joel Davies, Martin Bruch"|7008196|"Okt 17, 2021"
"Jesus in meinem Haus"|"Guido Baltes, Judy Bailey, Patrick Depuhl"|6122070|"Okt 3, 2021"
"Kommt an den Tisch seiner Gnade"|"Claire Cloninger, Ken Janz, Martin Nystrom, Martin Pepper"|5606157|"Okt 3, 2021"
"Mein Gott ist höher als die Berge"|"Ian Smale, Phil Nelson"|5301500|"Okt 24, 2021"
"Mein Ziel"|"Andi Weiss"|5655957|"Okt 17, 2021"
"Mit allem was ich bin"|"Ben Lütke"|5905810|"Okt 10, 2021"
"Mutig komm ich vor den Thron"|"Rend Collective, Simon Gottschick"|7028158|"Okt 24, 2021"
"My Lighthouse"|"Chris Llewellyn, Gareth Gilkeson"|7002032|"Okt 10, 2021"
"Oh am Kreuz"|"Mia Friesen, Stefan Schöpfle"|7149144|"Okt 3, 2021"
"Our God"|"Chris Tomlin, Jesse Reeves, Jonas Myrin, Matt Redman"|5677416|"Okt 24, 2021"
"Sei behütet"|||"Okt 10, 2021"
"Sei gesegnet"|"Jennifer Pepper, Martin Pepper"|7033176|"Okt 17, 2021"
"Staunend"|"Andrea Balke, Markus Heusser"|7140831|"Okt 24, 2021"
"Vater ich danke dir"|"Albert Frey"|4330156|"Okt 3, 2021"
"Vielen Dank"|"Mike Müllerbauer"|5443853|"Okt 3, 2021"
"Vor dir"|"Daniela A. Bauer, Johanna Schmidt, Melanie Schmidt, Richard Schmidt"|6113704|"Okt 24, 2021"
"Way Maker"|"Osinachi Kalu Okoro Egbu"|7115744|"Okt 10, 2021"
"Worship"|"Du bleibst an meiner Seite"||"Okt 10, 2021"
