"Name"|"Artist"|"CCLI Number"|"Dates Used"
"Bis ans Ende der Welt"|"Lothar Kosse"|4331007|"Jun 19, 2022"
"Geist des Vaters"|"Brian Doerksen, Wolfgang Dennenmoser"|5228793|"Jun 5, 2022"
"Hab Dank"|"Henry Smith, Mirjana Angelina"|5161317|"Jun 19, 2022"
"Happy Day"|"Ben Cantelon, Tim Hughes"|4847027|"Jun 19, 2022"
"Ich hab dich lieb"|"Mike Müllerbauer"|5932175|"Jun 5, 2022"
"Im Herzen ein Lied"|"Darlene Zschech, Theo Eißler"|5187834|"Jun 5, 2022"
"Komm jetzt ist die Zeit wir beten an"|"Brian Doerksen, Daniel Jacobi, Guido Baltes"|5229929|"Jun 5, 2022"
"Lass mich am Morgen hören deine Gnade"|"Carsten Groß"|4329198|"Jun 19, 2022"
"My Lighthouse"|"Chris Llewellyn, Gareth Gilkeson"|7002032|"Jun 5, 2022"
"Sei gesegnet"|"Jennifer Pepper, Martin Pepper"|7033176|"Jun 5, 2022"
"Unser Vater"|"Christoph Zehendner, Hans Werner Scharnowski"|4334523|"Jun 19, 2022"
"Vater ich danke dir"|"Albert Frey"|4330156|"Jun 19, 2022"
"Vielen Dank"|"Mike Müllerbauer"|5443853|"Jun 19, 2022"
"Zehntausend Gründe"|"David Hanheiser, David Schnitter, Jonas Myrin, Matt Redman"|6271093|"Jun 5, 2022"
