"Name"|"Artist"|"CCLI Number"|"Dates Used"
"Alle Augen auf dich"|"Daniel Harter, Mitch Schlüter, Tobi Wörner"|7096771|"Dez 5, 2021"
"Anker in der Zeit"|"Albert Frey"|4326005|"Dez 5, 2021"
"Bis ans Ende der Welt"|"Lothar Kosse"|4331007|"Dez 5, 2021"
"Das alles bist du"|"Mike Müllerbauer"|7134465|"Dez 5, 2021"
"Er kommt"|"Albert Frey"|5914629|"Dez 5, 2021"
"Ewigkeit"|"Mia Friesen, Nikolai Nilkens"|7158243|"Dez 5, 2021"
"Freue dich Welt"|"George Frideric Handel, Isaac Watts, Jeriel Devendraraj, Julie Devendraraj, Juri Friesen"|7187851|"Dez 12, 2021"
"Gott ist gegenwärtig (Arnsberg)"|"Gerhard Tersteegen, Joachim Neander"|4324296|"Dez 19, 2021"
"Gott segne dich"|"Jennifer Pepper, Martin Pepper"|5947469|"Dez 19, 2021"
"Highlands (Song Of Ascent)"|"Benjamin Hastings, Joel Houston"|7122399|"Dez 12, 2021"
"Ihr Kinderlein kommet"|"Christoph von Schmid, Johann Abraham Peter Schulz"|5622186|"Dez 19, 2021"
"Je-Je-Jesus ist größer"|"Larissa Zimmermeyer, Regula Salathé"|5731682|"Dez 12, 2021"
"Jesus meine Hoffnung lebt"|"Arne Kopfermann, Brian Johnson, Kris Madarasz, Matthias Nitsch, Phil Wickham"|7116987|"Dez 12, 2021"
"Light Of The World"|"Lauren Daigle, Paul Duncan, Paul Mabury"|7023299|"Dez 19, 2021"
"Mein Gott ist höher als die Berge"|||"Dez 5, 2021"
"Mittelpunkt"|"Juri Friesen, Pala Friesen"|6352819|"Dez 19, 2021"
"O du fröhliche o du selige"|"Heinrich Holzschuher, Johann Gottfried Herder, Johannes Daniel Falk"|4340270|"Dez 19, 2021"
"Stück vom Himmel"|"Aodhan King, Ellen Röwer, Hannah Hobbs, Michael Fatkin, Sophia Henckell"|7121602|"Dez 12, 2021"
"What A Beautiful Name"|"Ben Fielding, Brooke Ligertwood"|7068424|"Dez 19, 2021"
"Wie schön dieser Name ist"|"Ben Fielding, Brooke Ligertwood, Ellen Röwer, Sheila Geisinger, Sophia Henckell"|7069458|"Dez 12, 2021"
