"Name"|"Artist"|"CCLI Number"|"Dates Used"
"10,000 Reasons (Bless The Lord)"|"Jonas Myrin, Matt Redman"|6016351|"Feb 27, 2022"
"Alles was ich hab"|"Thomas Klein"|4866709|"Jan 23, 2022, Jan 16, 2022"
"Bis ans Ende der Welt"|"Lothar Kosse"|4331007|"Feb 20, 2022"
"Das glaube ich"|"Ben Fielding, Dennis Strehl, Martin Bruch, Matt Crocker"|7024191|"Jan 16, 2022, Jan 9, 2022"
"Der Sinn meines Lebens"|"Markus Heusser"|7142416|"Jan 16, 2022"
"Dich preisen"|||"Feb 6, 2022"
"Du siehst die Wunden"|"Arne Kopfermann, Danny Plett"|5456156|"Jan 23, 2022"
"El Shaddai"|"Johannes Hartl"|7096792|"Feb 6, 2022"
"Er hält die ganze Welt"|"Klaus Heizmann, Unknown"|7130114|"Feb 6, 2022"
"Es ist deine Liebe"|"THEA EICHHOLZ"||"Jan 30, 2022"
"Es ist deine Liebe"|||"Jan 30, 2022"
"Gewagte Liebe"|"Caleb Culver, Cory Asbury, Larissa Witzmann, Lukas Dopfer, Mia Friesen, Ran Jackson, Stefan Schöpfle"|7120458|"Feb 6, 2022"
"Good Good Father"|"Anthony Brown, Pat Barrett"|7036612|"Jan 9, 2022"
"Gott segne dich"|"Jennifer Pepper, Martin Pepper"|5947469|"Jan 23, 2022"
"Gottes Liebe ist so wunderbar"|"Lars Peter"|7159922|"Feb 27, 2022"
"Herr ich komme zu dir"|"Albert Frey"|4331784|"Feb 20, 2022"
"Hier bewegt sich was"|"Daniel Kallauch"|4958105|"Feb 20, 2022"
"Höher"|"Dominik Laim, Jennifer Pepper, Sarah Keim, Steffen Bodemer, Zippora Schneider-Ulrich"|7051762|"Feb 20, 2022, Feb 27, 2022"
"Ich bin ein Bibelentdecker"|"Daniel Kallauch"|4973867|"Jan 9, 2022"
"Ich folge dir"|"Arne Kopfermann, Chris Tomlin, Jason Ingram, Reuben Morgan"|6237525|"Feb 13, 2022, Jan 16, 2022"
"Ich tauch ein"|"Aodhan King, Joel Davies, Martin Bruch"|7008196|"Jan 9, 2022"
"Je-Je-Jesus ist größer"|"Larissa Zimmermeyer, Regula Salathé"|5731682|"Feb 13, 2022"
"Jesus meine Hoffnung lebt"|"Arne Kopfermann, Brian Johnson, Kris Madarasz, Matthias Nitsch, Phil Wickham"|7116987|"Jan 23, 2022, Feb 27, 2022"
"Lass mich wachsen"|||"Feb 13, 2022, Jan 16, 2022"
"Mit allem was ich bin"|"Ben Lütke"|5905810|"Jan 30, 2022"
"Morgenstern"|"Albert Frey"|4904898|"Jan 30, 2022"
"Mutig komm ich vor den Thron"|"Rend Collective, Simon Gottschick"|7028158|"Jan 30, 2022"
"Nichts will ich mehr"|"Albert Frey"|4327901|"Feb 20, 2022"
"Noch nie"|"Dietmar Kramlich, Johannes Hartl"|6475143|"Jan 9, 2022"
"Oceans (Where Feet May Fail)"|"Joel Houston, Matt Crocker, Salomon Ligthelm"|6428767|"Feb 20, 2022"
"Oh am Kreuz"|"Mia Friesen, Stefan Schöpfle"|7149144|"Feb 27, 2022"
"Our God"|"Chris Tomlin, Jesse Reeves, Jonas Myrin, Matt Redman"|5677416|"Jan 23, 2022, Feb 27, 2022"
"Say The Word"|"Joel Houston"|7037920|"Feb 6, 2022"
"Sei behütet"|||"Jan 30, 2022, Feb 27, 2022"
"Treu"|"Tobias Gerster"|4328979|"Feb 13, 2022"
"Unser Land"|"Andreas Buhl, Markus Heusser, Markus Hottiger"|5733068|"Jan 16, 2022"
"Von guten Mächten treu und still umgeben"|"Dietrich Bonhoeffer"|4891516|"Jan 9, 2022"
"Vor dir"|"Daniela A. Bauer, Johanna Schmidt, Melanie Schmidt, Richard Schmidt"|6113704|"Jan 23, 2022"
"Way Maker"|"Osinachi Kalu Okoro Egbu"|7115744|"Jan 16, 2022"
"Wo ich auch stehe"|"Albert Frey"|4330228|"Feb 20, 2022"
"Wohin sonst"|"Thea Eichholz"|4681159|"Jan 23, 2022"
"Wunderbarer Hirt"|"Lothar Kosse"|4684723|"Feb 27, 2022"
"You Say"|"Jason Ingram, Lauren Daigle, Paul Mabury"|7071357|"Feb 13, 2022"
"Zehntausend Gründe"|"David Hanheiser, David Schnitter, Jonas Myrin, Matt Redman"|6271093|"Jan 30, 2022, Feb 13, 2022"
"Zu dem Höchsten"|"Jeriel Devendraraj, Julie Devendraraj"|7122006|"Feb 6, 2022"
"Zuerst geliebt"|"Mia Friesen, Sam Samba, Stefan Schöpfle"|7104131|"Feb 6, 2022"
