"Name"|"Artist"|"CCLI Number"|"Dates Used"
"Alle Augen auf dich"|"Daniel Harter, Mitch Schlüter, Tobi Wörner"|7096771|"Mai 8, 2022"
"Alles was ich hab"|"Thomas Klein"|4866709|"Mai 22, 2022"
"Anker in der Zeit"|"Albert Frey"|4326005|"Mai 22, 2022"
"Bis ans Ende der Welt"|"Lothar Kosse"|4331007|"Mai 22, 2022"
"Das alles bist du"|"Mike Müllerbauer"|7134465|"Mai 8, 2022"
"Das glaube ich"|"Ben Fielding, Dennis Strehl, Martin Bruch, Matt Crocker"|7024191|"Mai 22, 2022"
"Der Herr segne dich"|"Albert Frey, Chris Brown, Cody Carnes, Johannes Hartl, Kari Jobe, Sebastian Bartram, Steven Furtick"|7148397|"Mai 29, 2022"
"Die Liebe des Retters"|"Mia Friesen, Stefan Schöpfle"|6020110|"Mai 15, 2022"
"Es ist deine Liebe"|"THEA EICHHOLZ"||"Mai 8, 2022"
"Ewigkeit"|"Mia Friesen, Nikolai Nilkens"|7158243|"Mai 29, 2022"
"Gewagte Liebe"|"Caleb Culver, Cory Asbury, Larissa Witzmann, Lukas Dopfer, Mia Friesen, Ran Jackson, Stefan Schöpfle"|7120458|"Mai 29, 2022"
"Gott segne dich"|"Jennifer Pepper, Martin Pepper"|5947469|"Mai 15, 2022, Mai 8, 2022"
"Herr in deinem Namen"|"Werner Arthur Hoffmann"|4327949|"Mai 22, 2022"
"Holy Is The Lord"|"Chris Tomlin, Louie Giglio"|4158039|"Mai 15, 2022"
"Ich Brauch Nur Dich"|"Aodhan King, Ben Tan, Benjamin Hastings, Ellen Röwer, Lucas Heidenreich, Melodie Wagner, Michael Fatkin"|7157870|"Mai 1, 2022"
"Ich bin ein Bibelentdecker"|"Daniel Kallauch"|4973867|"Mai 15, 2022"
"Ich tauch ein"|"Aodhan King, Joel Davies, Martin Bruch"|7008196|"Mai 29, 2022"
"Ich will dich anbeten"|"Andreas Waldmann, Tim Hughes"|5292815|"Mai 15, 2022"
"Je Je Jesus ist größer"|||"Mai 29, 2022"
"Je-Je-Jesus ist größer"|"Larissa Zimmermeyer, Regula Salathé"|5731682|"Mai 1, 2022"
"Jesus In My House"|"Judy Bailey"|4021764|"Mai 8, 2022"
"Keiner ist wie du"|"Lenny LeBlanc, Martin Pepper"|5275557|"Mai 8, 2022"
"Lass mich wachsen"|||"Mai 1, 2022"
"Lebensgrund"|"Albert Frey"|6236942|"Mai 22, 2022"
"Mein Erlöser lebt"|"Daniel Jacobi, Reuben Morgan, Tabea Higgins"|5203880|"Mai 15, 2022"
"Mit allem was ich bin"|"Ben Lütke"|5905810|"Mai 8, 2022"
"Mittelpunkt"|"Juri Friesen, Pala Friesen"|6352819|"Mai 1, 2022"
"Noch nie"|"Dietmar Kramlich, Johannes Hartl"|6475143|"Mai 29, 2022"
"Oceans (Where Feet May Fail)"|"Joel Houston, Matt Crocker, Salomon Ligthelm"|6428767|"Mai 29, 2022"
"Vor dir"|"Daniela A. Bauer, Johanna Schmidt, Melanie Schmidt, Richard Schmidt"|6113704|"Mai 1, 2022"
"Way Maker"|"Osinachi Kalu Okoro Egbu"|7115744|"Mai 1, 2022"
"Wir sind hier zusammen"|"Graham Kendrick, Hartmut Stiegler"|5291531|"Mai 22, 2022"
"Wohin sonst"|"Thea Eichholz"|4681159|"Mai 1, 2022"
