"Name"|"Artist"|"CCLI Number"|"Dates Used"
"10,000 Reasons (Bless The Lord)"|"Jonas Myrin, Matt Redman"|6016351|"Feb 27, 2022"
"Bis ans Ende der Welt"|"Lothar Kosse"|4331007|"Feb 20, 2022"
"Dich preisen"|||"Feb 6, 2022"
"El Shaddai"|"Johannes Hartl"|7096792|"Feb 6, 2022"
"Er hält die ganze Welt"|"Klaus Heizmann, Unknown"|7130114|"Feb 6, 2022"
"Gewagte Liebe"|"Caleb Culver, Cory Asbury, Larissa Witzmann, Lukas Dopfer, Mia Friesen, Ran Jackson, Stefan Schöpfle"|7120458|"Feb 6, 2022"
"Gottes Liebe ist so wunderbar"|"Lars Peter"|7159922|"Feb 27, 2022"
"Herr ich komme zu dir"|"Albert Frey"|4331784|"Feb 20, 2022"
"Hier bewegt sich was"|"Daniel Kallauch"|4958105|"Feb 20, 2022"
"Höher"|"Dominik Laim, Jennifer Pepper, Sarah Keim, Steffen Bodemer, Zippora Schneider-Ulrich"|7051762|"Feb 20, 2022, Feb 27, 2022"
"Ich folge dir"|"Arne Kopfermann, Chris Tomlin, Jason Ingram, Reuben Morgan"|6237525|"Feb 13, 2022"
"Je-Je-Jesus ist größer"|"Larissa Zimmermeyer, Regula Salathé"|5731682|"Feb 13, 2022"
"Jesus meine Hoffnung lebt"|"Arne Kopfermann, Brian Johnson, Kris Madarasz, Matthias Nitsch, Phil Wickham"|7116987|"Feb 27, 2022"
"Lass mich wachsen"|||"Feb 13, 2022"
"Nichts will ich mehr"|"Albert Frey"|4327901|"Feb 20, 2022"
"Oceans (Where Feet May Fail)"|"Joel Houston, Matt Crocker, Salomon Ligthelm"|6428767|"Feb 20, 2022"
"Oh am Kreuz"|"Mia Friesen, Stefan Schöpfle"|7149144|"Feb 27, 2022"
"Our God"|"Chris Tomlin, Jesse Reeves, Jonas Myrin, Matt Redman"|5677416|"Feb 27, 2022"
"Say The Word"|"Joel Houston"|7037920|"Feb 6, 2022"
"Sei behütet"|||"Feb 27, 2022"
"Treu"|"Tobias Gerster"|4328979|"Feb 13, 2022"
"Wo ich auch stehe"|"Albert Frey"|4330228|"Feb 20, 2022"
"Wunderbarer Hirt"|"Lothar Kosse"|4684723|"Feb 27, 2022"
"You Say"|"Jason Ingram, Lauren Daigle, Paul Mabury"|7071357|"Feb 13, 2022"
"Zehntausend Gründe"|"David Hanheiser, David Schnitter, Jonas Myrin, Matt Redman"|6271093|"Feb 13, 2022"
"Zu dem Höchsten"|"Jeriel Devendraraj, Julie Devendraraj"|7122006|"Feb 6, 2022"
"Zuerst geliebt"|"Mia Friesen, Sam Samba, Stefan Schöpfle"|7104131|"Feb 6, 2022"
